epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.768,2.76318,3.51759,3.25636,0.15345,0.21531,0.1136,0.03948,2.26535,2.923,2.53063,0.000475969,0.000475969,0.000475969
2,395.499,2.18205,2.65117,2.3785,0.28154,0.23077,0.19031,0.07284,2.16115,2.5461,2.28903,0.000858025,0.000858025,0.000858025
3,579.513,2.05082,2.43321,2.19448,0.40042,0.25971,0.25783,0.1115,1.99047,2.2737,2.10825,0.00114577,0.00114577,0.00114577
4,761.731,1.97997,2.29004,2.10388,0.37925,0.30934,0.28097,0.12161,1.95139,2.15959,2.04787,0.00100459,0.00100459,0.00100459
5,943.38,1.9173,2.17693,2.03717,0.41061,0.29493,0.3031,0.14124,1.90008,2.07489,2.01725,0.000863116,0.000863116,0.000863116
6,1128.39,1.87534,2.09767,1.99274,0.43119,0.32973,0.32461,0.14887,1.88471,2.00573,1.99579,0.000721645,0.000721645,0.000721645
7,1312.77,1.83722,2.02754,1.95214,0.44321,0.33504,0.34089,0.16052,1.83892,1.94261,1.93561,0.000580174,0.000580174,0.000580174
8,1495.94,1.80275,1.96118,1.91897,0.44081,0.35219,0.34776,0.16552,1.83257,1.90177,1.93027,0.000438703,0.000438703,0.000438703
9,1679.33,1.77035,1.90176,1.88517,0.45228,0.37042,0.36908,0.17454,1.81983,1.86621,1.91385,0.000297232,0.000297232,0.000297232
10,1867.87,1.74015,1.85391,1.86667,0.47969,0.3707,0.37784,0.18169,1.80452,1.82884,1.90589,0.000155761,0.000155761,0.000155761
